x;y;z
0.383344;0.97366;-0.121724
2.42498;2.38972;1.47277
2.0155;2.73179;-0.0595681
-1.76688;-2.19774;-0.355376
-0.753039;1.70501;-0.558526
2.40986;2.44574;-0.24408
0.596807;-1.74403;0.082983
-5.01251;-3.20053;0.185871
1.313;3.98651;0.907791
-2.26024;0.485742;-0.200277
-0.0743692;-1.62993;-0.0916086
-3.4984;0.954734;0.414272
-3.00329;-0.914001;-0.0352169
2.31836;2.23151;-0.032554
-2.33818;-3.31193;0.0628869
-2.79193;-1.49892;-0.116561
2.04311;2.33543;0.0142903
2.09341;1.54873;0.45187
-2.60569;-1.33338;-0.151116
2.03732;1.65265;-0.0377798
2.63306;-3.69034;-0.0226689
-2.60091;-1.36485;-0.112501
0.519918;-1.32127;0.089406
4.99734;0.724667;0.184928
-3.55914;7.72286;0.588225
1.98705;1.62465;0.127225
-0.878789;-2.21034;0.0131371
0.551556;-2.48917;-0.0471531
5.20441;-0.945002;-0.24559
0.0887666;-2.10629;0.0982198
-3.16372;-0.299144;-0.161475
-8.48116;0.457495;-0.381144
-2.53043;-1.19706;-0.305283
0.850183;-3.20342;-0.140291
1.98005;1.74339;0.28049
0.0144833;3.07891;1.0661
-0.122351;3.94267;-0.0631876
0.973065;-1.06652;-0.0574357
9.50275;-8.73367;-0.444492
0.844088;-3.22103;-0.107088
-1.26772;0.207007;-0.472734
0.728305;3.68683;-0.21219
-2.72072;-1.54727;-0.173153
0.681072;-2.27932;0.171067
2.06372;3.09985;-0.0647506
-2.68969;-1.16674;-0.154085
-0.871338;3.75535;-1.04249
-0.826798;-2.12004;-0.0654752
-2.19019;-1.51357;-0.0669483
-3.10411;-1.27784;-0.034702
2.47653;1.57801;-0.00702879
-0.730182;1.25596;0.268735
-1.36463;6.04081;-0.00894057
8.72354;-0.141755;-0.534054
5.46223;-11.4767;1.87187
-4.3318;0.459818;-0.788839
1.09607;-2.72835;0.457795
-0.949299;-2.2521;-0.118132
2.31543;-0.54965;0.0035083
-1.17711;5.9304;-0.553148
1.98957;2.13133;0.280991
-0.0828426;3.29246;-0.140594
-1.86251;-2.58058;0.0680179
-1.63895;-2.2809;-0.275007
0.0277887;-2.81451;-0.271463
-1.20053;2.7872;0.295403
0.671635;-2.31936;0.159312
-0.0582025;2.82395;-0.330333
-1.31047;2.26424;0.0216411
-1.84598;2.16318;0.0816903
-1.92026;-2.57628;-0.262345
3.06056;0.290208;-0.0513967
